Temp,cmp1,cmp2,cmp3,cmp4,cmp5,cmp6,cmp7,cmp8,cmp9,cmp10,cmp11,cmp12,cmp13
436.46,119314.44,73598.93,68477.38,8589.05,38464.38,7708.6,12519.79,2526.3,7943.19,6926.62,2572.79,10361.98,883.94
436.56,119581.96,73807.34,68663.29,8620.19,38585.74,7735.07,12563.22,2537.09,7972.33,6951.93,2582.84,10400.51,887.78
436.66,119849.93,74016.24,68849.61,8651.43,38707.4,7761.61,12606.78,2547.93,8001.58,6977.33,2592.92,10439.16,891.63
436.76,120118.36,74225.62,69036.34,8682.76,38829.36,7788.23,12650.47,2558.8,8030.91,7002.81,2603.04,10477.93,895.5
436.86,120387.25,74435.49,69223.48,8714.19,38951.63,7814.93,12694.29,2569.72,8060.34,7028.37,2613.19,10516.83,899.39
436.96,120656.6,74645.85,69411.04,8745.72,39074.2,7841.7,12738.25,2580.67,8089.87,7054.01,2623.37,10555.84,903.29
437.06,120926.41,74856.71,69599.01,8777.33,39197.07,7868.56,12782.33,2591.67,8119.48,7079.73,2633.59,10594.98,907.2
437.16,121196.67,75068.05,69787.4,8809.05,39320.25,7895.49,12826.55,2602.7,8149.2,7105.52,2643.85,10634.24,911.13
437.26,121467.4,75279.89,69976.2,8840.86,39443.73,7922.5,12870.9,2613.78,8179.01,7131.41,2654.14,10673.63,915.08
437.36,121738.59,75492.21,70165.41,8872.77,39567.52,7949.59,12915.39,2624.9,8208.91,7157.37,2664.47,10713.14,919.03
437.46,122010.24,75705.04,70355.05,8904.78,39691.61,7976.76,12960.01,2636.05,8238.91,7183.41,2674.83,10752.77,923.01
437.56,122282.36,75918.36,70545.1,8936.88,39816.01,8004.01,13004.76,2647.25,8269,7209.53,2685.23,10792.53,927
437.66,122554.93,76132.17,70735.57,8969.08,39940.71,8031.34,13049.65,2658.49,8299.19,7235.74,2695.67,10832.41,931
437.76,122827.97,76346.48,70926.46,9001.37,40065.73,8058.74,13094.67,2669.77,8329.48,7262.03,2706.14,10872.42,935.02
437.86,123101.48,76561.29,71117.77,9033.77,40191.05,8086.23,13139.82,2681.1,8359.86,7288.4,2716.65,10912.55,939.05
437.96,123375.44,76776.6,71309.5,9066.26,40316.68,8113.8,13185.11,2692.46,8390.34,7314.85,2727.19,10952.8,943.1
438.06,123649.88,76992.41,71501.65,9098.85,40442.62,8141.44,13230.54,2703.87,8420.92,7341.38,2737.77,10993.18,947.16
438.16,123924.77,77208.71,71694.22,9131.54,40568.86,8169.17,13276.1,2715.31,8451.6,7368,2748.38,11033.69,951.24
438.26,124200.14,77425.52,71887.21,9164.33,40695.42,8196.98,13321.8,2726.8,8482.37,7394.7,2759.04,11074.33,955.34
438.36,124475.96,77642.83,72080.63,9197.21,40822.29,8224.87,13367.64,2738.33,8513.24,7421.49,2769.72,11115.09,959.45
438.46,124752.26,77860.65,72274.47,9230.2,40949.47,8252.84,13413.61,2749.9,8544.21,7448.35,2780.45,11155.97,963.57
438.56,125029.02,78078.96,72468.73,9263.28,41076.96,8280.89,13459.72,2761.52,8575.27,7475.3,2791.21,11196.99,967.72
438.66,125306.25,78297.79,72663.42,9296.47,41204.77,8309.02,13505.96,2773.18,8606.44,7502.34,2802.01,11238.13,971.87
438.76,125583.95,78517.11,72858.54,9329.75,41332.88,8337.23,13552.35,2784.88,8637.7,7529.46,2812.85,11279.4,976.04
438.86,125862.12,78736.95,73054.08,9363.13,41461.31,8365.52,13598.87,2796.62,8669.06,7556.66,2823.72,11320.8,980.23
438.96,126140.76,78957.29,73250.05,9396.62,41590.05,8393.9,13645.53,2808.4,8700.53,7583.95,2834.63,11362.32,984.43
439.06,126419.86,79178.14,73446.44,9430.2,41719.11,8422.36,13692.34,2820.23,8732.09,7611.32,2845.58,11403.98,988.65
439.16,126699.44,79399.5,73643.27,9463.89,41848.48,8450.9,13739.28,2832.1,8763.75,7638.78,2856.56,11445.76,992.89
439.26,126979.49,79621.37,73840.52,9497.68,41978.17,8479.52,13786.35,2844.01,8795.51,7666.32,2867.59,11487.68,997.14
439.36,127260,79843.75,74038.21,9531.56,42108.17,8508.23,13833.57,2855.97,8827.38,7693.95,2878.65,11529.72,1001.4
